Disease,Doctor
Fungal infection,Dermatologist
Allergy,Allergist
GERD,Gastroenterologist
Chronic cholestasis, Hepatologist or Gastroenterologist
Drug Reaction,Allergist or Immunologist or Dermatologist
Peptic ulcer disease,Gastroenterologist
AIDS,Infectious Disease Specialist or HIV Specialist
Diabetes,Endocrinologist
Gastroenteritis,Gastroenterologist
Bronchial Asthma,Pulmonologist or Allergist
Hypertension,Cardiologist
Migraine,Neurologist
Cervical spondylosis,rthopedic Surgeon or Neurologist
Paralysis (brain hemorrhage),Neurologist
Jaundice,Gastroenterologist
Malaria,Infectious Disease Specialist
Chicken pox,Infectious Disease Specialist
Dengue, Infectious Disease Specialist
Typhoid,Infectious Disease Specialist
hepatitis A,Hepatologist
Hepatitis B,Hepatologist
Hepatitis C,Hepatologist
Hepatitis D,Hepatologist
Hepatitis E,Hepatologist
Alcoholic hepatitis,Hepatologist
Tuberculosis,Infectious Disease Specialist
Common Cold,General Practitioner 
Pneumonia,Pulmonologist or Infectious Disease Specialist
Dimorphic hemmorhoids(piles),Colorectal Surgeon
Heart attack,Cardiologist
Varicose veins,Vascular Surgeon
Hypothyroidism,Endocrinologist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Osteoarthristis,Rheumatologist
Arthritis,Rheumatologist
(vertigo) Paroymsal Positional Vertigo,Otolaryngologist or Neurologist
Acne, Dermatologist
Urinary tract infection,Urologist
Psoriasis,Dermatologist
Impetigo,Dermatologist
